model_slug,N,T,layer,n_effective,n_censored,accuracy,q_mean,q_mean_ci_95,q_var,q_var_ci_95,q_abs_mean_exploratory,q_tail_mass,q_bimodality_bc,q_bimodality_dip,q_bimodality_dip_pval,ordered_rate,sg_label_rate,pm_rate,stagnation_after_move_rate,phase,q_count,hbar_norm_mean,hbar_norm_std
deepseek-r1-distill-qwen-7b,5,0.1,layer_mid,25,0,0.0,0.0344551171973098,"[0.010971811950938841, 0.05976647084823592]",0.0440287879328352,"[0.03494543996132332, 0.05282592914596666]",0.1469477047827295,0.05,0.37232176461458866,0.012636304446654208,0.998,0.0,0.36,0.24,0.0,spin_glass,300,55.01566874371447,46.340172563338335
deepseek-r1-distill-qwen-7b,5,0.2,layer_mid,25,0,0.04,0.017251160588261767,"[-0.008549708592958968, 0.04238244885499816]",0.0543447449535366,"[0.0435069893822745, 0.06621783381188354]",0.15645284110771399,0.04666666666666667,0.30852967120766145,0.01359068771789157,0.984,0.04,0.48,0.28,0.0,spin_glass,300,62.6274426149505,54.457882285199
deepseek-r1-distill-qwen-7b,5,0.3,layer_mid,25,0,0.0,0.03544311843967749,"[0.006527906473155822, 0.06473958441897762]",0.059588319160371626,"[0.048667409897207504, 0.07274576350562288]",0.17442009125289004,0.05,0.32798192733146614,0.012794761626189258,0.998,0.0,0.44,0.28,0.0,spin_glass,300,69.40661225687568,51.03537908349524
deepseek-r1-distill-qwen-7b,5,0.4,layer_mid,25,0,0.0,0.0774067825990958,"[0.06148906997175396, 0.0941479325866969]",0.02169393957155747,"[0.016820375235975703, 0.02683085136791721]",0.117709965645914,0.01,0.1913615034548603,0.015537977741261434,0.938,0.0,0.2,0.44,0.0,undetermined,300,97.11022286484194,53.4079833380247
deepseek-r1-distill-qwen-7b,5,0.5,layer_mid,25,0,0.0,0.03938587593661136,"[0.01594923628521819, 0.06297542280033941]",0.04253763095536608,"[0.03264118058633683, 0.05315379389094691]",0.13766225407804314,0.043333333333333335,0.463151858582055,0.010581878960554682,1.0,0.0,0.24,0.28,0.0,spin_glass,300,68.76230559468367,55.21423209323389
deepseek-r1-distill-qwen-7b,5,0.6,layer_mid,25,0,0.0,0.02252746998308731,"[0.0013574852736840416, 0.04575458721119953]",0.03981888488447028,"[0.0318911522975824, 0.049102431382630415]",0.1411409519722191,0.016666666666666666,0.3292653520207653,0.013802710751270233,0.99,0.0,0.36,0.24,0.0,spin_glass,300,58.77346733218968,44.38517907918496
deepseek-r1-distill-qwen-7b,5,0.7,layer_mid,25,0,0.0,0.042639205703409906,"[0.01719087946017496, 0.06573451662755656]",0.05052160415410782,"[0.03912549160238489, 0.06283521867613412]",0.14546860074692466,0.07,0.4194543134441794,0.011612386189164325,1.0,0.0,0.48,0.28,0.0,spin_glass,300,63.15591462630086,53.884589890841234
deepseek-r1-distill-qwen-7b,5,0.8,layer_mid,25,0,0.0,0.04343185559429491,"[0.02594735109696895, 0.06328899989370151]",0.028387991981091105,"[0.0220049719490606, 0.03607490376168606]",0.11592701382941972,0.016666666666666666,0.4231254214416058,0.014961836661171037,0.966,0.0,0.52,0.2,0.0,spin_glass,300,75.78126089330628,51.6728433096859
deepseek-r1-distill-qwen-7b,5,0.9,layer_mid,25,0,0.0,0.03401724756869233,"[0.013584333960125506, 0.054877654716446234]",0.031627237583123795,"[0.023426330839479866, 0.04083216127447651]",0.12458950771889342,0.023333333333333334,0.3882531803432347,0.011979720445527031,0.998,0.0,0.6,0.16,0.0,spin_glass,300,57.26706335414639,43.547458150264006
deepseek-r1-distill-qwen-7b,5,1.0,layer_mid,25,0,0.0,0.09374853907135373,"[0.07397983932634514, 0.11634042808313652]",0.03716554414678909,"[0.0286169949252168, 0.04556744606958103]",0.13638723509685918,0.056666666666666664,0.5741081153702089,0.009920840232489271,1.0,0.0,0.32,0.08,0.0,spin_glass,300,74.7875074193384,57.34468663468694
